! | OTHER 9 OTHER: 17
!! | OTHER: 3
!. | OTHER: 1
$ | OTHER: 2
dialing | OTHER 1
dialogue | OTHER 19 OTHER: 6
dialysis | OTHER 3
diamond | FACILITY 1 OTHER: 5
diamonds | OTHER 1 OTHER: 5
diapers | OTHER 1
diaries | OTHER 1
diary | OTHER 6 OTHER: 3
diaspora | PERSON 1 OTHER 2 OTHER: 1
dichotomy | OTHER 1
dicks | PERSON:Group 1
dictates | OTHER 2
dictator | PERSON:Individual 5 PERSON 5 OTHER: 1
dictators | PERSON 2 PERSON:Group 1
dictatorship | ORGANIZATION:Government 1 ORGANIZATION 1 GPE:Nation 1 GPE 1 OTHER 3 OTHER: 4
dictatorships | OTHER 1 OTHER: 1
diction | OTHER: 1
dictionary | OTHER 2
didn | OTHER: 1
die | OTHER 1 OTHER: 1
die-hard | OTHER: 1
died | OTHER: 1
diesel | PERSON:Individual 2 OTHER 2 OTHER: 5
diet | OTHER 3 OTHER: 1
dieticians | PERSON 1
diets | OTHER 1
difference | OTHER 36 OTHER: 13
differences | OTHER 27 OTHER: 7
different | OTHER 3 OTHER: 3
difficult | OTHER: 2
difficulties | OTHER 10 OTHER: 2
difficulty | OTHER 10 OTHER: 4
dig | OTHER: 1
digestion | OTHER 2
digging | OTHER 2
digit | OTHER 3 OTHER: 1
digits | OTHER 4
dignitaries | PERSON 3 PERSON:Group 1
dignity | OTHER 4 OTHER: 2
dike | FACILITY 1
dilemma | OTHER 8
dilemmas | OTHER 3
dilution | OTHER 1
dim | OTHER 1
dime | OTHER 2
dimensionally | OTHER: 1
diminishment | OTHER 2
dimples | OTHER 1
diner | PERSON 2
diners | PERSON 4 FACILITY 1
dinner | OTHER 21 OTHER: 7
dinner-party | OTHER 2
dinners | OTHER 2
dino | OTHER 1
dinosaur | OTHER 6 OTHER: 1
dinosaurs | OTHER 10
diocese | ORGANIZATION:Religious 1
dioceses | LOCATION 1
diodes | OTHER 1
dioxide | OTHER 2 OTHER: 1
dip | OTHER 2
diploma | OTHER 1
diplomacy | PERSON:Group 1 OTHER 19 OTHER: 5
diplomas | OTHER: 1
diplomat | PERSON:Individual 10 PERSON 24
diplomats | PERSON 29 PERSON:Group 17
dir | OTHER: 1
direct | OTHER: 2
direction | OTHER 25 OTHER: 22
directions | OTHER 5 OTHER: 1
directives | OTHER 1
director | PERSON:Individual 14 PERSON 87 OTHER 16 OTHER: 1
directories | OTHER 1
directors | PERSON 7 PERSON:Group 10 OTHER 2
dirt | OTHER 2
dirtier | OTHER 1
disabilities | OTHER 1
disability | OTHER 2 OTHER: 1
disabled | OTHER 1 OTHER: 1
disadvantage | OTHER 3
disagreement | OTHER 4 OTHER: 3
disagreements | OTHER 1 OTHER: 2
disappearance | OTHER 14
disappointing | OTHER: 1
disappointment | OTHER 1
disappointments | OTHER 1 OTHER: 1
disapproval | OTHER 1
disarmament | OTHER 3 OTHER: 6
disarray | OTHER 1 OTHER: 2
disaster | OTHER 43 OTHER: 8
disasters | OTHER 4
disastrous | OTHER 1
disastrously wrong. | OTHER: 1
disbelief | OTHER 1
disc | OTHER 1
discharge | OTHER: 8
discipline | OTHER 6
disciplines | OTHER 7
disclosed. | OTHER 1
disclosure | OTHER 10 OTHER: 4
disclosures | OTHER 3
discomfort | OTHER 2 OTHER: 3
discontent | OTHER 2
discord | OTHER 2 OTHER: 1
discount | OTHER 1 OTHER: 2
discounts | OTHER 1 OTHER: 2
discoveries | OTHER 2
discovery | OTHER 7 OTHER: 5
discrepancy | OTHER 1
discretion | OTHER 6
discrimination | OTHER 7 OTHER: 1
discs | OTHER: 2
discussion | OTHER 20 OTHER: 12
discussions | OTHER 34 OTHER: 13
disease | OTHER 51 OTHER: 4
diseases | OTHER 4 OTHER: 1
disenchantment | OTHER 2
disenfranchisement | OTHER 1
diservice | OTHER: 1
disgrace | OTHER 3 OTHER: 1
disgust | OTHER 1
disgusted | OTHER 1
dish | OTHER 7
disharmony | OTHER: 1
dishes | OTHER 7 OTHER: 1
disillusionment | OTHER: 1
disinformation | OTHER 1
disingenuousness | OTHER 1
disintegration | OTHER: 1
disjoined | OTHER: 1
disks | OTHER: 1
dislike | OTHER 2
dismatched | OTHER: 1
dismay | OTHER 3
dismembered | OTHER 1
dismemberment | OTHER: 1
dismissal | OTHER 3
dismissals | OTHER 1
dismissively | OTHER 1
dismisssed | OTHER 1
disobedience | OTHER: 2
disorder | OTHER 2
disparities | OTHER 1
disparity | OTHER 1
dispatch | OTHER 1
dispatcher | PERSON:Individual 1
dispatchers | PERSON 1
dispensation | OTHER: 1
display | OTHER 12 OTHER: 5
displays | OTHER 3
displeasure | OTHER 1 OTHER: 1
disposal | OTHER 2 OTHER: 2
disposition | OTHER 1
dispute | OTHER 44 OTHER: 9
disputed | OTHER 1
disputes | OTHER 18 OTHER: 1
disqualification | OTHER 1
disregard | OTHER 1 OTHER: 1
disrepair | OTHER 1
disruption | OTHER 3
disruptions | OTHER 6
dissatisfactory | OTHER 1
dissemination | OTHER 2
dissensions | OTHER: 1
dissent | OTHER 9 OTHER: 1
disservice | OTHER 1 OTHER: 1
dissidence | OTHER 1
dissident | PERSON:Individual 1 PERSON 2
dissidents | PERSON 12 PERSON:Group 2
distance | OTHER 7 OTHER: 8
distances | OTHER: 1
distaste | OTHER 1
distillery | OTHER 1
distinction | OTHER 5 OTHER: 1
distinctive | OTHER: 1
distortions | OTHER 1
distraction | PERSON 1 OTHER 5 OTHER: 2
distractions | OTHER 1
distress | OTHER 3 OTHER: 3
distribution | OTHER 11 OTHER: 13
distributor | PERSON 1 OTHER 1
distributors | ORGANIZATION:Commercial 5 ORGANIZATION 6
district | ORGANIZATION 5 GPE:County-or-District 3 GPE 15 LOCATION:Region-General 4 LOCATION 14 OTHER 9 OTHER: 6
districts | ORGANIZATION:Government 1 ORGANIZATION 2 GPE 7 LOCATION:Region-General 1 LOCATION 1 OTHER 2
disturbance | OTHER 1
disturbances | OTHER: 1
ditch | LOCATION:Land-Region-Natural 1 LOCATION 1 OTHER 1 OTHER: 3
diva | PERSON:Individual 1 PERSON 1
dive | OTHER 1 OTHER: 1
divers | PERSON 94 PERSON:Group 1
diversification | OTHER 1 OTHER: 1
diversion | OTHER 4 OTHER: 1
diversions | OTHER 3
diversity | OTHER 3 OTHER: 1
dives | PERSON 1
divide | OTHER 2 OTHER: 1
dividend | OTHER 1 OTHER: 1
dividends | OTHER 4 OTHER: 2
dividers | PERSON 1
divides | OTHER 1
division | PERSON 1 PERSON:Group 5 ORGANIZATION:Government 4 ORGANIZATION:Commercial 1 ORGANIZATION 36 ORGANIZATION:Media 1 OTHER 16 OTHER: 9
divisions | PERSON:Group 5 ORGANIZATION:Government 6 ORGANIZATION 3 OTHER 7 OTHER: 1
divorce | OTHER 1 OTHER: 25
divty | OTHER: 1
dixie | ORGANIZATION 1 ORGANIZATION:Entertainment 3
dlrs 1 million | OTHER 1
dlrs 1.25 million | OTHER 1
dlrs 1.6 million | OTHER 1
dlrs 100 million | OTHER 1
dlrs 100,000 | OTHER 1
dlrs 104.6 4 billion | OTHER 1
dlrs 11,000 | OTHER 1
dlrs 115 million | OTHER 1
dlrs 14 billion | OTHER 1
dlrs 141 million | OTHER 1
dlrs 155 | OTHER 1
dlrs 180 million | OTHER 1
dlrs 2 billion | OTHER 1
dlrs 2.2 million | OTHER 1
dlrs 2.5 billion | OTHER 1
dlrs 20 million | OTHER 1
dlrs 200,000 | OTHER 1
dlrs 203.5 million | OTHER: 1
dlrs 225,000 | OTHER 1
dlrs 26.50 | OTHER 1
dlrs 27 million | OTHER 1
dlrs 300 million | OTHER 1
dlrs 36.2 million | OTHER: 1
dlrs 4.1 billion | OTHER 1
dlrs 450 million | OTHER 1
dlrs 490 million | OTHER 1
dlrs 5 million | OTHER 1
dlrs 5.2 billion | OTHER 1
dlrs 69,000 | OTHER 1
dlrs 720 million | OTHER 1
dlrs 725 million | OTHER 1
dlrs 800 million | OTHER 1
dlrs 800,000 | OTHER 1
dn | OTHER: 1
dna | OTHER 2 OTHER: 3
do. . . | OTHER: 1
dock | FACILITY:Building-Grounds 1 FACILITY 4 OTHER 1 OTHER: 1
docket | OTHER 2 OTHER: 1
dockets | OTHER 1
docks | FACILITY:Building-Grounds 1 FACILITY 2 OTHER 1
docs | OTHER: 3
doctor | PERSON:Individual 6 PERSON 14 PERSON:Group 1
doctorate | OTHER 1
doctors | ORGANIZATION:Government 1 ORGANIZATION:Non-Governmental 1 PERSON 75 PERSON:Group 10 OTHER: 1
doctrine | OTHER 1
doctrines | OTHER 1 OTHER: 2
document | OTHER 11 OTHER: 4
documentaries | OTHER 2 OTHER: 1
documentary | OTHER 1
documents | OTHER 29 OTHER: 20
dodge | OTHER 1
doe | OTHER 1 OTHER: 1
doesnt | OTHER: 1
dog | PERSON:Individual 2 PERSON 1 GPE:Nation 3 OTHER 8 OTHER: 8
dogfighters | VEH:Air 1
dogs | OTHER 12 OTHER: 8
doing... | OTHER: 1
dole | OTHER 1
doll | OTHER 5
dollar | OTHER 36 OTHER: 11
dollarization | OTHER 4
dollars | OTHER 230 OTHER: 59
dolls | OTHER 2 OTHER: 1
dolphins | OTHER: 4
domain | OTHER 4
domains | OTHER 2
dome | ORGANIZATION 1 LOCATION 2
domgo | OTHER: 1
dominance | OTHER 5 OTHER: 3
dominant | OTHER: 1
dominated | OTHER 1
domination | OTHER 3 OTHER: 2
domino | OTHER: 1
dominos | ORGANIZATION 2 OTHER 1
don | PERSON:Individual 4 OTHER: 3
donation | OTHER 4 OTHER: 9
donations | OTHER 3 OTHER: 7
done | OTHER 2 OTHER: 1
done. | OTHER: 1
dong | OTHER: 1
donnell | OTHER 2
donor | PERSON:Individual 1 PERSON 3 GPE:Nation 1
donors | ORGANIZATION 3 PERSON 6 PERSON:Group 3
dont | OTHER: 1
donuts | OTHER 1
door | FACILITY 1 OTHER 36 OTHER: 19
doorbell | OTHER: 1
doorman | OTHER 1
doormen | PERSON 1
doors | OTHER 20 OTHER: 4
doorsteps | OTHER 1
doorway | OTHER 4 OTHER: 1
dopamine | OTHER 2
dormer | OTHER: 1
dormitory | FACILITY 3
dornin | OTHER: 1
dose | OTHER 3 OTHER: 1
dot | ORGANIZATION 2 OTHER 3 OTHER: 1
dot.con | OTHER: 1
dotcom | ORGANIZATION 1
double | OTHER 2
double-edged | OTHER 1
doubles | OTHER 2
doublespeak | OTHER: 1
doubt | OTHER 31 OTHER: 17
doubters | PERSON 1
doubts | OTHER 16 OTHER: 1
douchebags | PERSON:Group 1
doves | PERSON 1 OTHER 1
dovish | OTHER 1
dovishness | OTHER 1
downed | OTHER: 1
downfall | OTHER 1 OTHER: 2
downhillers | PERSON 1
download | OTHER 1
downloading | OTHER 2
downpour | OTHER 1
downs | OTHER 2 OTHER: 1
downside | OTHER 2 OTHER: 1
downtowns | LOCATION 1
downturn | OTHER 4 OTHER: 2
doyens | ORGANIZATION 1
dozen | OTHER 13 OTHER: 13
dozens | ORGANIZATION 1 PERSON 6 PERSON:Group 3 FACILITY 1 LOCATION 2 OTHER 22 OTHER: 5
dpravity | OTHER: 1
dr. | PERSON:Individual 11 PERSON 15 OTHER 49
draft | OTHER 19 OTHER: 11
drafters | PERSON 1
drag | OTHER 1
dragnet | OTHER: 1
dragon | OTHER 1 OTHER: 1
drain | OTHER 2 OTHER: 2
drake | OTHER: 1
drama | OTHER 11 OTHER: 3
dramas | OTHER 1
draped | OTHER: 1
draw | FACILITY 1 OTHER 8 OTHER: 1
drawbacks | OTHER 1
drawer | OTHER 1
drawing | OTHER 3 OTHER: 1
dread | OTHER 1
dream | OTHER 19 OTHER: 3
dream...hahhahah | OTHER: 1
dreams | OTHER 6 OTHER: 1
dreamscape | OTHER 1
dredge | VEH:Water 2
drenched | OTHER 1
drenching | OTHER 1
dress | OTHER 8 OTHER: 1
dresser | OTHER 1
dresses | OTHER 4
dressing | OTHER 1
dried | OTHER 1
drift | OTHER 3
drill | OTHER 1 OTHER: 2
drills | OTHER: 2
drink | OTHER 6 OTHER: 1
drinking | OTHER 7 OTHER: 8
drinks | OTHER 2 OTHER: 2
drive | OTHER 15 OTHER: 9
driver | PERSON:Individual 7 PERSON 25 OTHER: 2
drivers | PERSON:Individual 1 PERSON 21 PERSON:Group 1 OTHER 1
drives | OTHER 1
driveway | FACILITY:Path 1 FACILITY 1
drizzle | OTHER 1
drone | OTHER: 2
drones | VEH:Air 1 PERSON:Group 1 WEA:Underspecified 1
drop | OTHER 20 OTHER: 7
droppings | OTHER 1
drops | OTHER 1 OTHER: 1
drought | OTHER 3 OTHER: 3
droughts | OTHER: 1
droves | OTHER: 1
drownings | OTHER 1
drubbing | OTHER 1
drug | OTHER 35 OTHER: 15
drugmakers | ORGANIZATION 1
drugs | OTHER 48 OTHER: 6
drum | OTHER 1
drumbeat | OTHER 1
drums | OTHER: 1
drunk | PERSON:Individual 2 OTHER 1
drunks | PERSON:Group 1
dry | OTHER: 1
dryly | OTHER 2
dst | OTHER: 1
duality | OTHER: 1
duck | OTHER 1 OTHER: 1
ducking | OTHER: 1
duds | OTHER 1
duel | OTHER 2
duke | PERSON:Individual 1 ORGANIZATION 1
dull | OTHER 1
dullard | PERSON 1
dummy | PERSON:Individual 1
dumps | OTHER 1
dumpsters | OTHER 1
dune | OTHER 1
duo | PERSON 2
duplicate | VEH:Water 1
duplication | OTHER 1 OTHER: 1
durango | PERSON:Individual 1
duration | OTHER 1
dusk | OTHER 2 OTHER: 2
dust | OTHER 10 OTHER: 11
dustbin | OTHER 1
duties | OTHER 6 OTHER: 1
duty | OTHER 18 OTHER: 8
dwelling | OTHER 1
dynamic | OTHER 3
dynamics | OTHER 1 OTHER: 1
dynamism | OTHER 1
dysfunction | OTHER: 1
dysfunctional | OTHER: 1
dystopic | OTHER: 1
e | PERSON 1 OTHER 4 OTHER: 9
ea | OTHER 1
each | VEH 1 VEH:Land 1 ORGANIZATION:Non-Governmental 1 ORGANIZATION:Sports 1 ORGANIZATION 4 PERSON:Individual 4 PERSON 8 PERSON:Group 3 GPE 5 FACILITY:Building-Grounds 1 OTHER 26 OTHER: 15
eagle | VEH:Air 1 OTHER 5 OTHER: 3
ear | OTHER 3
earl | OTHER 1
earlier | OTHER 4 OTHER: 3
earlier one | OTHER 1
early | OTHER 6 OTHER: 2
early 1992 | OTHER 1
early 1993 | OTHER 2
early 1998 | OTHER 1
early 2001 | OTHER: 1
early 2002 | OTHER: 1
early 2004 | OTHER: 1
earmarks | OTHER: 1
earners | PERSON 1 OTHER 1
earnestness | OTHER 1
earnings | OTHER 32 OTHER: 7
ears | OTHER 4
earth | LOCATION 6 LOCATION:Celestial 10 OTHER 2 OTHER: 1
earthquake | OTHER 4 OTHER: 1
earthquakes | OTHER: 1
ease | OTHER 2 OTHER: 2
easier | OTHER: 1
east | GPE 1 GPE:Population-Center 1 LOCATION:Region-General 4 OTHER 9 OTHER: 18
easterners | PERSON 1
easy | OTHER 2 OTHER: 1
easy 6 | OTHER 1
easy... | OTHER: 1
easyjet | ORGANIZATION:Commercial 1
eatery | ORGANIZATION 1
eb | PERSON:Group 1
ebb | OTHER 1
echelon | PERSON 2
eclipse | OTHER 2
economic | OTHER 1
economics | OTHER 6 OTHER: 3
economies | OTHER 14 OTHER: 1
economist | ORGANIZATION:Media 1 PERSON 12
economists | PERSON 21 PERSON:Group 1
economy | OTHER 171 OTHER: 24
ecosystem | OTHER 1
ed | OTHER 1
ed. good. | PERSON:Individual 1
edge | LOCATION:Region-General 6 OTHER 21 OTHER: 5
edges | OTHER 4
edict | OTHER 1
edicts | OTHER 2
edition | OTHER 15 OTHER: 8
editions | OTHER 4
editor | PERSON:Individual 7 PERSON 14 OTHER 5
editorial | OTHER 16 OTHER: 3
editorials | OTHER 3
editors | PERSON 3
education | ORGANIZATION 1 OTHER 44 OTHER: 6
educator | PERSON 1
educators | PERSON 2 OTHER 2
effect | OTHER 43 OTHER: 10
effective | OTHER 1
effectiveness | OTHER 2 OTHER: 2
effects | OTHER 23 OTHER: 4
efficiencies | OTHER 2
efficiency | OTHER 12 OTHER: 2
effort | ORGANIZATION 4 OTHER 85 OTHER: 34
efforts | OTHER 95 OTHER: 23
egg | OTHER 1
eggers | PERSON:Group 1
eggs | OTHER 11 OTHER: 4
ego | OTHER 3
egress | OTHER: 1
egyptians | PERSON:Group 1
eh | OTHER 6 OTHER: 68
eight | PERSON 3 FACILITY 2 OTHER 15 OTHER: 8
eight hundred | OTHER 4 OTHER: 2
eighteen | PERSON 1 OTHER 2
eighteen ninety-eight | OTHER 3
eighths | OTHER 3
eighties | OTHER 2 OTHER: 3
eighty fifty-nine | OTHER 1
eighty nine | OTHER 1
eighty-nine | OTHER 1
either | OTHER 3 OTHER: 1
ejected | OTHER: 2
ejection | OTHER: 2
el | OTHER 2 OTHER: 1
elder | OTHER 1
elderly | PERSON 4
elders | PERSON 4 PERSON:Group 1
ele | OTHER: 1
elect | PERSON 1 OTHER 5
elected | OTHER 1
election | OTHER 228 OTHER: 80
electioneering | OTHER: 1
elections | OTHER 73 OTHER: 50
elections. | OTHER: 1
elector | PERSON 1
electorate | PERSON 2 OTHER 1
electorials | OTHER: 1
electors | PERSON 22
electricity | OTHER 31 OTHER: 10
electrodes | OTHER 2
electronic | OTHER 1
electronics | OTHER 2
element | FACILITY 2 OTHER 9 OTHER: 1
elementary | OTHER 1
elements | ORGANIZATION:Government 1 ORGANIZATION 1 PERSON 2 PERSON:Group 6 FACILITY 3 OTHER 12 OTHER: 1
elephant | OTHER 8
elephantiasis | OTHER 1
elephants | OTHER 4
elevator | OTHER 1
eleven | PERSON:Group 1 OTHER 2 OTHER: 1
elf | OTHER 1
eligibility | OTHER 1 OTHER: 1
elimination | OTHER 8 OTHER: 2
elite | PERSON 8
else. | OTHER 1
elses | OTHER 1
em | OTHER 3 OTHER: 1
email | OTHER: 2
emancipation | OTHER 2
embargo | OTHER 11 OTHER: 2
embargoes | OTHER: 1
embarrassing | OTHER: 1
embarrassment | OTHER 5 OTHER: 2
embassies | ORGANIZATION 2 FACILITY 3
embassy | ORGANIZATION 6 FACILITY:Building-Grounds 4 FACILITY 9 OTHER: 2
embers | OTHER 1
embitterment | OTHER: 1
emblem | OTHER 1 OTHER: 1
embodiment | PERSON:Individual 2
embrace | OTHER 5 OTHER: 1
embraces | OTHER 1
emergence | OTHER 5
emergencies | OTHER 3
emergency | FACILITY 1 OTHER 30 OTHER: 12
emigre | PERSON 2
emigres | PERSON 14
emissary | PERSON 2
emission | OTHER 1
emissions | OTHER 17 OTHER: 1
emoticon | OTHER 1
emotion | OTHER 5 OTHER: 3
emotions | OTHER 2
emperor | PERSON 3
emperors | PERSON 1
emphasis | OTHER 10 OTHER: 2
empire | ORGANIZATION:Non-Governmental 1 ORGANIZATION:Commercial 3 ORGANIZATION 7 ORGANIZATION:Entertainment 1 GPE 3 FACILITY 1 OTHER 4
empires | OTHER 1
employee | PERSON:Individual 4 PERSON 12 PERSON:Group 4
employee. | PERSON 1
employees | PERSON 73 PERSON:Group 26 OTHER 1
employer | ORGANIZATION:Commercial 2 ORGANIZATION 2 PERSON 1 OTHER 1
employers | ORGANIZATION 7 PERSON 7 PERSON:Group 1
employment | OTHER 4
empowerment | OTHER 1
empress | PERSON 1
empty | OTHER 2
encampments | FACILITY:Building-Grounds 1
enclave | GPE:Special 1 GPE 1 GPE:Population-Center 1
encounter | OTHER 7 OTHER: 1
encounters | OTHER 2 OTHER: 1
encouragement | OTHER 2 OTHER: 1
encryption | OTHER 2 OTHER: 1
encyclopedias | OTHER 2
end | PERSON:Individual 1 LOCATION 2 OTHER 157 OTHER: 95
endangered | OTHER: 1
endeavor | OTHER 2 OTHER: 1
endeavors | OTHER 1
endeavour | OTHER 1
endedness | OTHER 1
endgame | OTHER: 1
ending | OTHER 2 OTHER: 2
endorsement | OTHER 3 OTHER: 5
endorsements | OTHER 2
endowment | ORGANIZATION 22 OTHER 2
endowments | OTHER 1
ends | OTHER 3 OTHER: 3
endurance | OTHER 1
enemies | PERSON 4 PERSON:Group 1 GPE 5 OTHER 1
enemy | PERSON:Indeterminate 13 PERSON:Individual 1 PERSON 4 PERSON:Group 7 GPE 7 OTHER: 3
energized | OTHER 1
energy | ORGANIZATION 3 OTHER 22 OTHER: 20
enforcement | PERSON:Group 1 ORGANIZATION:Government 1 ORGANIZATION 2 OTHER 11 OTHER: 4
enforcers | ORGANIZATION 1 PERSON 3
engagement | OTHER 3 OTHER: 1
engagements | OTHER 1
engaging | OTHER 1
engame | OTHER: 1
engine | ORGANIZATION 1 OTHER 11 OTHER: 4
engineer | PERSON:Individual 1 PERSON 5
engineered | OTHER: 1
engineering | OTHER 3 OTHER: 2
engineers | PERSON 4 PERSON:Group 3 OTHER 2
engines | ORGANIZATION:Commercial 1 OTHER 6 OTHER: 1
engraving | OTHER: 1
engrossed | OTHER 1
enhancement | OTHER 2
enjoyable | OTHER: 1
enjoyment | OTHER 2 OTHER: 1
enlightenment | OTHER 2
enmity | OTHER 2
enough | OTHER 1 OTHER: 1
enough. .. | OTHER 1
enquiry | OTHER 1
enrollment | OTHER 2
enshall | OTHER: 1
enshrined | OTHER 1
ensued | OTHER 1
ensured | OTHER 1
ent | OTHER 1
entendre | OTHER 1
enterprise | ORGANIZATION:Commercial 1 ORGANIZATION 5 OTHER 8
enterprises | PERSON 1 ORGANIZATION 44 OTHER 5
entertainer | PERSON 1 OTHER 1
entertainers | PERSON 1
entertainment | OTHER 14 OTHER: 11
enthusiasm | OTHER 4 OTHER: 1
enthusiast | PERSON 1
enthusiastic | OTHER: 1
enthusiasts | PERSON 2 PERSON:Group 2
entire | OTHER: 1
entities | ORGANIZATION 3 GPE 1
entity | ORGANIZATION:Commercial 2 ORGANIZATION:Sports 1 ORGANIZATION 4 GPE:Nation 1 GPE 1 LOCATION 1 OTHER 1
entomology | OTHER 1
entourage | PERSON 3
entrance | OTHER 9 OTHER: 6
entree | OTHER 3
entrees | OTHER 3
entrepreneur | PERSON:Individual 2 PERSON 4
entrepreneurs | PERSON 2 PERSON:Group 1 OTHER 1
entrepreneurship | OTHER 1 OTHER: 2
entries | OTHER: 1
entry | OTHER 10 OTHER: 10
envelope | OTHER 3 OTHER: 1
envelopes | OTHER 2 OTHER: 1
environment | GPE 1 OTHER 40 OTHER: 7
environmental | OTHER 1
environmentalist | PERSON:Individual 2 PERSON 2
environmentalists | PERSON 4 PERSON:Group 1
environs | LOCATION:Region-General 1
envoy | PERSON:Individual 6 PERSON 10 OTHER 2
envoys | PERSON 1 PERSON:Group 4
envy | OTHER 2 OTHER: 1
enzymes | OTHER 1
epicenter | GPE 1
epidemic | OTHER 7 OTHER: 2
epidemics | OTHER: 1
epidemiologist | PERSON 1
epidemiologists | PERSON 2
epidemiology | OTHER 1
epidural | OTHER: 1
epinephrine | OTHER 3
episode | OTHER 5 OTHER: 2
episodes | OTHER 5 OTHER: 1
equal | GPE:Nation 1
equality | OTHER 5 OTHER: 2
equalizer | OTHER 1
equals | OTHER 1
equation | OTHER 3 OTHER: 1
equator | LOCATION 1
equilibrium | OTHER 3
equipment | VEH:Land 1 WEA:Underspecified 1 OTHER 79 OTHER: 30
equities | OTHER 1
equity | OTHER 4 OTHER: 4
equivalent | PERSON:Individual 1 PERSON 1 ORGANIZATION 2 OTHER 6
era | OTHER 26 OTHER: 11
erdogan | PERSON:Individual 1
erosion | OTHER 2
error | OTHER 9 OTHER: 2
errors | OTHER 4 OTHER: 2
ers | OTHER 1
erythropoietin | OTHER 1
es | OTHER 1 OTHER: 1
escalation | OTHER 6
escape | OTHER 5 OTHER: 1
escort | VEH:Water 2 PERSON 1 OTHER 1 OTHER: 1
escorts | PERSON 4
escrow | OTHER: 1
espionage | OTHER 17
essay | OTHER 1 OTHER: 1
essays | OTHER 1
essence | OTHER 5
est | OTHER 1 OTHER: 1
estabishment | OTHER 1
establishment | PERSON 2 ORGANIZATION:Commercial 1 ORGANIZATION 5 OTHER 7 OTHER: 1
establishments | ORGANIZATION 2
estate | FACILITY 5 LOCATION 1 OTHER 11 OTHER: 4
esteem | OTHER: 1
estimate | OTHER 2 OTHER: 6
estimated | OTHER 15 OTHER: 2
estimates | OTHER 16 OTHER: 5
estimation | OTHER 2 OTHER: 1
estuaries | LOCATION 1
et | OTHER: 1
eta | ORGANIZATION:Non-Governmental 1
etc | OTHER: 1
etc. | ORGANIZATION 2 GPE 1
eternity | OTHER: 1
ethics | OTHER 5 OTHER: 11
ethnic | OTHER 1
ethnicity | OTHER 1
eu | GPE 2
eucalyptus | OTHER 1
euphoria | OTHER 3
euro | OTHER 6
europeans | PERSON 1 GPE:Continent 1 GPE 1
euros | OTHER 1 OTHER: 5
eurowings | ORGANIZATION 1
evacuation | OTHER 4
evacuations | OTHER 3
evaluation | OTHER 5
evaluations | OTHER 2 OTHER: 1
evasion | OTHER 3 OTHER: 2
evasions | OTHER 1
eve | PERSON 1 OTHER 9 OTHER: 5
even | OTHER 1
even more | OTHER 1
even one | OTHER 1
even thinks...thinks | OTHER: 1
evening | OTHER 90 OTHER: 27
evenings | OTHER: 2
event | OTHER 55 OTHER: 11
events | OTHER 50 OTHER: 9
eventuality | OTHER: 1
ever more | OTHER: 1
everest | LOCATION:Land-Region-Natural 1
everglades | LOCATION 1
evergreen | ORGANIZATION:Commercial 1
everyday | OTHER 2
everyone | PERSON:Group 2
